census_tract,At 200% FPL or Above,Between 100% and 200% FPL,Up to 100% FPL
41067030101,358,0,0
41067030102,399,117,0
41067030200,405,147,0
41067030300,204,35,0
41067030401,140,85,24
41067030402,165,6,0
41067030501,91,98,66
41067030502,336,56,8
41067030600,287,42,0
41067030700,7,0,28
41067030801,284,276,28
41067030803,140,44,46
41067030805,232,19,16
41067030806,223,7,6
41067030900,289,61,118
41067031003,292,32,98
41067031004,280,12,20
41067031005,76,153,253
41067031006,280,116,168
41067031100,83,77,54
41067031200,125,107,245
41067031300,135,284,164
41067031402,207,8,35
41067031403,237,53,98
41067031404,217,21,52
41067031504,365,106,0
41067031506,184,76,0
41067031507,323,19,93
41067031508,495,19,0
41067031509,414,38,0
41067031511,204,0,0
41067031512,605,120,22
41067031513,770,95,59
41067031514,387,77,70
41067031606,351,157,206
41067031609,676,126,140
41067031610,196,108,101
41067031611,773,70,0
41067031612,321,59,127
41067031613,357,162,76
41067031614,370,55,12
41067031615,146,85,299
41067031616,169,55,0
41067031617,270,77,0
41067031703,302,123,189
41067031704,811,112,26
41067031705,297,176,113
41067031706,235,107,223
41067031804,255,16,110
41067031805,393,151,0
41067031806,242,142,78
41067031807,199,0,0
41067031812,152,10,176
41067031813,368,51,23
41067031814,290,0,0
41067031815,279,46,13
41067031904,157,60,57
41067031907,190,0,127
41067031908,392,18,48
41067031909,252,81,0
41067031910,618,0,36
41067031911,380,137,76
41067031912,229,25,78
41067032001,226,77,17
41067032003,92,139,72
41067032004,97,14,0
41067032005,170,78,198
41067032103,817,74,25
41067032104,370,21,0
41067032107,152,0,16
41067032108,300,22,24
41067032109,182,7,0
41067032110,129,28,37
41067032200,738,115,0
41067032300,375,71,87
41067032404,212,77,107
41067032406,566,80,0
41067032407,385,253,15
41067032408,531,169,29
41067032409,67,124,580
41067032410,163,238,39
41067032501,61,44,143
41067032502,252,30,0
41067032503,161,38,75
41067032603,349,66,237
41067032604,358,167,151
41067032606,284,110,164
41067032607,115,0,0
41067032608,175,13,8
41067032609,174,6,0
41067032610,167,77,36
41067032700,168,52,114
41067032800,17,78,6
41067032901,231,67,113
41067032902,425,202,28
41067033000,254,7,24
41067033101,78,143,24
41067033102,42,67,54
41067033200,277,168,0
41067033301,282,110,183
41067033302,399,0,12
41067033400,137,6,0
41067033500,213,49,0
41067033600,37,41,5
